Supplementary Table І,,,,,,,,,,,,,,,,,,
Detailed Informaion of Materials,,,,,,,,,,,,,,,,,,
No.,Chemical composition (wt%),,,,,,,Fabrication Processes,,,,,,,,,,
,Zn,Mg,Cu,Zr,Ti,Fe,Si,Casting Types,,Homogenization (℃/h),Extrusion,Solution Treatment (℃/h),Aging (℃/h),Tensile properties,,,Remarks,Specimens
,,,,,,,,Permanent mold,Billet,,O/X,,,YS (MPa),TS (MPa),EL (%),,
1,7.95 ,1.91 ,2.50 ,0.099 ,-,-,-,O,,450/24,X,,,204,252,1.4 ,,7KA1
2,7.95 ,1.91 ,2.50 ,0.099 ,-,-,-,O,,450/24,X,,,194,253,1.9 ,,7KA1
3,7.95 ,1.91 ,2.50 ,0.099 ,-,-,-,O,,450/24,X,,,196,255,1.8 ,,7KA1
4,7.95 ,1.91 ,2.50 ,0.099 ,-,-,-,O,,450/24,X,,,195,271,2.6 ,,7KA1
5,7.95 ,2.00 ,2.50 ,0.095 ,-,-,-,O,,450/24,X,,,107,209,4.4 ,,7KA2
6,7.95 ,2.00 ,2.50 ,0.095 ,-,-,-,O,,450/24,X,,,108,209,4.7 ,,7KA2
7,7.95 ,2.00 ,2.50 ,0.095 ,-,-,-,O,,450/24,X,,,100,234,8.7 ,,7KA2
8,7.95 ,2.00 ,2.50 ,0.095 ,-,-,-,O,,450/24,X,,,104,224,6.9 ,,7KA2
9,7.88 ,2.45 ,1.97 ,0.110 ,-,-,-,O,,450/24,X,,,184,187,0.6 ,,7KB1
10,7.88 ,2.45 ,1.97 ,0.110 ,-,-,-,O,,450/24,X,,,181,189,0.6 ,,7KB1
11,7.88 ,2.45 ,1.97 ,0.110 ,-,-,-,O,,450/24,X,,,173,176,0.4 ,,7KB1
12,7.89 ,2.50 ,2.03 ,0.077 ,-,-,-,O,,450/24,X,,,105,188,3.2 ,,7KB2
13,7.89 ,2.50 ,2.03 ,0.077 ,-,-,-,O,,450/24,X,,,103,197,3.9 ,,7KB2
14,7.89 ,2.50 ,2.03 ,0.077 ,-,-,-,O,,450/24,X,,,94,218,7.1 ,,7KB2
15,7.89 ,2.50 ,2.03 ,0.077 ,-,-,-,O,,450/24,X,,,97,205,5.1 ,,7KB2
16,7.89 ,2.50 ,2.03 ,0.077 ,-,-,-,O,,450/24,X,,,95,196,4.5 ,,7KB2
17,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,,,357,536,13.0 ,,7068
18,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,,,358,538,12.0 ,,7068
19,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,,120/24,464,560,13.0 ,,7068
20,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,,120/24,466,559,12.0 ,,7068
21,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,450/0.03,120/24,563,602,12.0 ,,7068
22,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,450/0.03,120/24,537,580,13.0 ,,7068
23,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,450/0.03,120/24,633,663,10.0 ,,7068
24,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,450/0.08,120/24,650,690,14.0 ,,7068
25,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,450/0.08,120/24,654,693,14.0 ,,7068
26,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,450/0.5,120/24,659,695,11.0 ,,7068
27,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,450/0.5,120/24,664,703,11.0 ,,7068
28,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,450/4,120/24,663,695,11.0 ,,7068
29,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,450/4,120/24,666,704,6.1 ,,7068
30,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,450/24,120/24,663,696,10.0 ,,7068
31,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,450/24,120/24,659,696,11.0 ,,7068
32,7.66 ,2.63 ,1.96 ,0.110 ,0.004 ,0.100 ,0.030 ,O,,500/0.16,O,450/24,120/24,664,698,13.0 ,,7068
33,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,,,257,424,14.0 ,Ti-added,7068
34,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,,,272,435,10.0 ,Ti-added,7068
35,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,,,350,515,11.0 ,Ti-added,7068
36,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,,120/24,335,451,10.0 ,Ti-added,7068
37,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,,120/24,251,382,16.0 ,Ti-added,7068
38,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,,120/24,331,453,10.0 ,Ti-added,7068
39,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/0.03,120/24,558,601,14.0 ,Ti-added,7068
40,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/0.03,120/24,592,629,12.0 ,Ti-added,7068
41,7.55 ,2.65 ,1.97 ,0.110 ,0.074 ,0.100 ,0.020 ,O,,500/0.16,O,450/0.08,120/24,662,702,15.0 ,Ti-added,7068
